team_id,win,game,win_rate,avg,obp,slg,ops,era,team_name,team_type
1,369.5,728,0.507554945054945,0.2467200402397619,0.30475082557790456,0.3804334157689567,0.6851842413468612,3.258253040593903,巨人,強攻弱守型
2,359.0,734,0.4891008174386921,0.24413304068884012,0.3074747925735759,0.37274185379030894,0.6802166463638848,3.6059791205314773,ヤクルト,強攻弱守型
3,371.0,739,0.5020297699594046,0.25171204275931186,0.30449801006232635,0.3781944212460331,0.6826924313083594,3.3799747315224256,DeNA,強攻弱守型
4,317.0,715,0.4433566433566434,0.23865510678790441,0.2850363566781477,0.3326284626770988,0.6176648193552465,3.130929791271347,中日,低迷型
5,416.5,743,0.5605652759084792,0.24500210881484605,0.3055379451799366,0.34959932517924924,0.6551372703591858,2.684458398744113,阪神,弱攻強守型
6,346.5,720,0.48125,0.25022983702465523,0.2985085897677931,0.3536147095695779,0.652123299337371,3.296155671570954,広島,低迷型
7,318.0,717,0.4435146443514644,0.22915860527107787,0.28855454056958624,0.3378047207532568,0.626359261322843,3.1512844909609896,西武,低迷型
8,356.5,729,0.4890260631001372,0.23808516936609295,0.2962248449084582,0.3570854653867298,0.653310310295188,3.088026502602934,日本ハム,弱攻強守型
9,356.0,730,0.4876712328767123,0.23961512377076974,0.3032207384131972,0.3513479145473042,0.6545686529605014,3.4756560227631996,ロッテ,低迷型
11,402.0,748,0.5374331550802139,0.24734076098381333,0.30504845616407483,0.3607315535001051,0.6657800096641799,3.035048942216609,オリックス,弱攻強守型
12,417.5,744,0.5611559139784946,0.25317889966007806,0.31485669793481885,0.3773972890175836,0.6922539869524025,2.9186119873817034,ソフトバンク,攻守兼備型
376,352.5,717,0.4916317991631799,0.24335196476964768,0.3113466241754984,0.34900067750677505,0.6603473016822734,3.529355910745371,楽天,低迷型
